Iteraciones	X	Y	Z		
122	-0,878601372	0,587064207	-0,920588911		
123	-0,747188747	0,747190595	-0,920588911		
124	-0,587062001	0,878602862	-0,920588911		
125	-0,404374719	0,976250947	-0,920588911		
126	-0,206147581	1,036382079	-0,920588911		
127	-4,84E-09	1,056685805	-0,920588911		
416	1,03E-07	0,001752484	-0,881237388		
417	-0,000341732	0,001718807	-0,881237388		
418	-0,000670426	0,001619119	-0,881237388		
419	-0,000973359	0,001457188	-0,881237388		
420	-0,001238868	0,001239288	-0,881237388		
421	-0,001456782	0,000973764	-0,881237388		
422	-0,001618713	0,000670831	-0,881237388		
423	-0,001718402	0,000342138	-0,881237388		
424	-0,001752079	3,05E-07	-0,881237388		
425	-0,001718402	-0,000341528	-0,881237388		
426	-0,001618713	-0,000670221	-0,881237388		
427	-0,001456782	-0,000973147	-0,881237388		
428	-0,001238868	-0,001238671	-0,881237388		
429	-0,000973359	-0,001456585	-0,881237388		
430	-0,000670426	-0,001618486	-0,881237388		
431	-0,000341728	-0,001718205	-0,881237388		
432	1,03E-07	-0,001751882	-0,881237388		
433	0,000341937	-0,001718205	-0,881237388		
434	0,000670634	-0,001618486	-0,881237388		
435	0,000973567	-0,00145657	-0,881237388		
436	0,001239076	-0,001238671	-0,881237388		
437	0,001456991	-0,000973147	-0,881237388		
438	0,001618892	-0,000670221	-0,881237388		
439	0,001718611	-0,000341528	-0,881237388		
440	0,001752287	3,07E-07	-0,881237388		
441	0,001718611	0,000342141	-0,881237388		
442	0,001618892	0,000670839	-0,881237388		
443	0,001456991	0,000973764	-0,881237388		
444	0,001239076	0,001239288	-0,881237388		
445	0,000973552	0,001457188	-0,881237388		
446	0,000670627	0,001619119	-0,881237388		
447	0,000341933	0,001718807	-0,881237388		
384	7,45E-08	0,290658116	-0,881237268		
385	0,056704611	0,285073191	-0,881237268		
386	0,111230016	0,268533081	-0,881237268		
387	0,161480933	0,24167341	-0,881237268		
388	0,205526233	0,205526352	-0,881237268		
389	0,241673261	0,161481068	-0,881237268		
390	0,268532932	0,111230165	-0,881237268		
391	0,285073042	0,056704774	-0,881237268		
392	0,290657938	2,45E-07	-0,881237268		
393	0,285073042	-0,056704283	-0,881237268		
394	0,268532932	-0,111229688	-0,881237268		
395	0,241673261	-0,161480635	-0,881237268		
396	0,205526233	-0,205525935	-0,881237268		
397	0,161480904	-0,241672993	-0,881237268		
398	0,111229971	-0,268532634	-0,881237268		
399	0,056704551	-0,285072714	-0,881237268		
400	-2,02E-08	-0,29065764	-0,881237268		
401	-0,056704581	-0,285072714	-0,881237268		
402	-0,111230016	-0,268532574	-0,881237268		
403	-0,161480948	-0,241672873	-0,881237268		
404	-0,205526233	-0,205525845	-0,881237268		
405	-0,241673231	-0,161480471	-0,881237268		
406	-0,268532872	-0,111229509	-0,881237268		
407	-0,285072923	-0,056704059	-0,881237268		
408	-0,290657789	5,04E-07	-0,881237268		
409	-0,285072803	0,056705058	-0,881237268		
410	-0,268532634	0,111230463	-0,881237268		
411	-0,241672933	0,16148138	-0,881237268		
412	-0,205525845	0,20552662	-0,881237268		
413	-0,161480471	0,241673619	-0,881237268		
414	-0,111229494	0,26853326	-0,881237268		
415	-0,056704029	0,28507328	-0,881237268		
64	-1,50E-09	1,016723514	-0,809413433		
65	0,198352918	0,997187376	-0,809413433		
66	0,389083296	0,939329982	-0,809413433		
67	0,564861357	0,845374644	-0,809413433		
68	0,718932092	0,718932033	-0,809413433		
69	0,845374763	0,564861238	-0,809413433		
70	0,939330041	0,389083236	-0,809413433		
71	0,997187436	0,198352963	-0,809413433		
72	1,016723514	7,39E-08	-0,809413433		
73	0,997187555	-0,198352799	-0,809413433		
74	0,939330101	-0,389083117	-0,809413433		
75	0,845374763	-0,564861298	-0,809413433		
76	0,718932033	-0,718932092	-0,809413433		
77	0,564861238	-0,845374763	-0,809413433		
78	0,389083058	-0,939330101	-0,809413433		
79	0,198352665	-0,997187555	-0,809413433		
80	-3,33E-07	-1,016723394	-0,809413433		
81	-0,198353335	-0,997187376	-0,809413433		
82	-0,389083683	-0,939329863	-0,809413433		
83	-0,564861834	-0,845374405	-0,809413433		
84	-0,718932569	-0,718931675	-0,809413433		
85	-0,845375121	-0,564860702	-0,809413433		
86	-0,939330339	-0,389082462	-0,809413433		
87	-0,997187674	-0,198352039	-0,809413433		
88	-1,016723394	9,79E-07	-0,809413433		
89	-0,997187316	0,198353961	-0,809413433		
90	-0,939329624	0,389084309	-0,809413433		
91	-0,845374048	0,56486237	-0,809413433		
92	-0,718931198	0,718932986	-0,809413433		
93	-0,564860225	0,845375478	-0,809413433		
94	-0,389081866	0,939330578	-0,809413433		
95	-0,198351398	0,997187734	-0,809413433		
135	1,698975325	0,3379471	-0,482197821		
136	1,732260227	-8,93E-08	-0,482197821		
137	1,698975444	-0,33794722	-0,482197821		
139	1,440321803	-0,962392449	-0,482197821		
140	1,224892855	-1,224893212	-0,482197821		
141	0,962392032	-1,440322042	-0,482197821		
150	-1,600400448	-0,662906229	-0,482197821		
151	-1,698975801	-0,337945938	-0,482197821		
153	-1,698975086	0,337948799	-0,482197821		
154	-1,600399137	0,662908852	-0,482197821		
155	-1,440320849	0,96239388	-0,482197821		
128	-4,72E-08	1,732259989	-0,482197642		
129	0,33794719	1,698975086	-0,482197642		
130	0,662907362	1,600399494	-0,482197642		
131	0,96239233	1,440321565	-0,482197642		
132	1,224892974	1,224892855	-0,482197642		
133	1,440321803	0,962391913	-0,482197642		
134	1,600399852	0,662907064	-0,482197642		
138	1,600399852	-0,662907362	-0,482197642		
142	0,662906945	-1,600400209	-0,482197642		
143	0,337946773	-1,698975921	-0,482197642		
144	-6,12E-07	-1,732260466	-0,482197642		
145	-0,337947935	-1,698975444	-0,482197642		
146	-0,662908137	-1,600399852	-0,482197642		
147	-0,962393224	-1,440321445	-0,482197642		
148	-1,224893928	-1,224892497	-0,482197642		
149	-1,440322638	-0,962391436	-0,482197642		
152	-1,732260227	1,45E-06	-0,482197642		
156	-1,224891663	1,224894404	-0,482197642		
157	-0,962390423	1,440322876	-0,482197642		
158	-0,662905037	1,600400567	-0,482197642		
159	-0,337944686	1,698975682	-0,482197642		
480	-1,15E-07	1,810908318	-0,280693233		
481	0,353290677	1,776112318	-0,280693233		
482	0,693004668	1,673061132	-0,280693233		
483	1,006086826	1,505715132	-0,280693233		
484	1,280505896	1,280505538	-0,280693233		
485	1,505715489	1,006086588	-0,280693233		
486	1,673061132	0,693004549	-0,280693233		
487	1,776112437	0,353290617	-0,280693233		
488	1,810908556	-6,72E-08	-0,280693233		
489	1,776112437	-0,353290796	-0,280693233		
490	1,673061132	-0,693004668	-0,280693233		
491	1,505715489	-1,006087184	-0,280693233		
492	1,280505896	-1,280506015	-0,280693233		
493	1,006086707	-1,505715847	-0,280693233		
494	0,693004251	-1,673061728	-0,280693233		
495	0,35329026	-1,776112795	-0,280693233		
496	-7,05E-07	-1,810908794	-0,280693233		
497	-0,353291541	-1,776112556	-0,280693233		
498	-0,693005741	-1,673061252	-0,280693233		
499	-1,00608778	-1,505715013	-0,280693233		
500	-1,280506492	-1,2805053	-0,280693233		
501	-1,505716324	-1,00608623	-0,280693233		
502	-1,673062325	-0,693003595	-0,280693233		
503	-1,776113033	-0,353289425	-0,280693233		
504	-1,810908914	1,54E-06	-0,280693233		
505	-1,776112199	0,353292376	-0,280693233		
506	-1,673060775	0,693006396	-0,280693233		
507	-1,505714297	1,006088495	-0,280693233		
508	-1,280504107	1,280507088	-0,280693233		
509	-1,006085157	1,505716562	-0,280693233		
510	-0,693002462	1,673062444	-0,280693233		
511	-0,353288114	1,776112676	-0,280693233		
167	2,20424819	0,438452005	-0,13186717		
168	2,247431993	-1,97E-07	-0,13186717		
169	2,20424819	-0,438452333	-0,13186717		
171	1,868671536	-1,248606801	-0,13186717		
172	1,589174271	-1,589174747	-0,13186717		
173	1,248605967	-1,868671894	-0,13186717		
182	-2,076357126	-0,860053718	-0,13186717		
183	-2,204248667	-0,438450664	-0,13186717		
185	-2,204247952	0,438454211	-0,13186717		
186	-2,076355457	0,860056937	-0,13186717		
187	-1,868670344	1,248608351	-0,13186717		
160	-8,49E-08	2,247431755	-0,131867021		
161	0,438452184	2,204247713	-0,131867021		
162	0,860055029	2,076355934	-0,131867021		
163	1,248606324	1,868671179	-0,131867021		
164	1,58917439	1,589174151	-0,131867021		
165	1,868671536	1,248605728	-0,131867021		
166	2,076356411	0,860054612	-0,131867021		
170	2,076356411	-0,860055149	-0,131867021		
174	0,860054493	-2,076357126	-0,131867021		
175	0,438451618	-2,204248905	-0,131867021		
176	-8,17E-07	-2,24743247	-0,131867021		
177	-0,438453227	-2,204248428	-0,131867021		
178	-0,860056043	-2,076356411	-0,131867021		
179	-1,248607635	-1,868671179	-0,131867021		
180	-1,589175582	-1,589173794	-0,131867021		
181	-1,868672609	-1,248605371	-0,131867021		
184	-2,247431993	1,80E-06	-0,131867021		
188	-1,589172721	1,589176178	-0,131867021		
189	-1,248604059	1,868672848	-0,131867021		
190	-0,860052109	2,076357365	-0,131867021		
191	-0,438448995	2,204248428	-0,131867021		
192	-9,64E-08	2,35780859	0,324325562		
199	2,31250453	0,459985465	0,324325562		
200	2,357809067	-2,14E-07	0,324325562		
201	2,31250453	-0,459985852	0,324325562		
203	1,960446596	-1,309928894	0,324325562		
204	1,667222619	-1,667223215	0,324325562		
205	1,309928179	-1,960446954	0,324325562		
214	-2,17833209	-0,902293146	0,324325562		
215	-2,312505007	-0,459984094	0,324325562		
217	-2,312504292	0,459987789	0,324325562		
218	-2,178330421	0,902296484	0,324325562		
219	-1,960445404	1,309930563	0,324325562		
193	0,459985644	2,312503815	0,324325711		
194	0,902294457	2,178330898	0,324325711		
195	1,309928417	1,960446239	0,324325711		
196	1,667222738	1,6672225	0,324325711		
197	1,960446596	1,309927821	0,324325711		
198	2,178331375	0,90229404	0,324325711		
202	2,178331375	-0,902294576	0,324325711		
206	0,902293921	-2,178332329	0,324325711		
207	0,459985077	-2,312505245	0,324325711		
208	-8,65E-07	-2,357809544	0,324325711		
209	-0,459986746	-2,312504768	0,324325711		
210	-0,902295589	-2,178331375	0,324325711		
211	-1,309929848	-1,960446239	0,324325711		
212	-1,66722405	-1,667222142	0,324325711		
213	-1,960447788	-1,309927464	0,324325711		
216	-2,357809067	1,88E-06	0,324325711		
220	-1,66722095	1,667224526	0,324325711		
221	-1,309926033	1,960448027	0,324325711		
222	-0,902291417	2,178332329	0,324325711		
223	-0,459982306	2,312504768	0,324325711		
512	-2,102422476	0,418199718	0,628745854		2,143611735
514	1,515762329	-1,515762448	0,628745854		
518	-1,51E-07	2,143611193	0,628745854		
513	-1,980437994	0,820326567	0,628745914		
515	1,190926433	-1,782348394	0,628745914		
516	-1,782346487	1,190928459	0,628745914		
517	0,820324004	-1,980439305	0,628745914		
519	0,418197751	2,102422237	0,628745914		
520	-1,515760303	1,51576376	0,628745914		
521	0,418197274	-2,102423191	0,628745914		
522	0,820324481	1,980438471	0,628745914		
523	-1,190924525	1,78234911	0,628745914		
524	-8,49E-07	-2,143611908	0,628745914		
525	1,190926671	1,782347441	0,628745914		
526	-0,820321977	1,980440021	0,628745914		
527	-0,418198824	-2,102422953	0,628745914		
528	1,515762329	1,515761971	0,628745914		
529	-0,418194741	2,102422714	0,628745914		
530	-0,820325792	-1,98043859	0,628745914		
531	1,782347798	1,190926194	0,628745914		
532	-1,190927744	-1,782347322	0,628745914		
533	1,980438471	0,820324302	0,628745914		
534	-1,515762925	-1,515761733	0,628745914		
535	2,102422476	0,418197691	0,628745914		
536	-1,782348871	-1,190925956	0,628745914		
537	2,143611431	-1,34E-07	0,628745914		
538	-1,980439901	-0,820323348	0,628745914		
539	2,102422476	-0,41819796	0,628745914		
540	-2,102423429	-0,41819638	0,628745914		
541	1,980438471	-0,8203246	0,628745914		
542	-2,143611908	1,77E-06	0,628745914		
543	1,782347798	-1,190927029	0,628745914		
224	-1,09E-07	2,375281811	1,060690641		
225	0,463394463	2,329641342	1,060690641		
226	0,908981144	2,194473982	1,060690641		
227	1,319635987	1,974974513	1,060690641		
228	1,679578066	1,679577708	1,060690641		
229	1,97497499	1,319635391	1,060690641		
230	2,194474459	0,908980787	1,060690641		
231	2,329641819	0,463394314	1,060690641		
232	2,375282288	-2,09E-07	1,060690641		
233	2,329641819	-0,463394701	1,060690641		
234	2,194474459	-0,908981264	1,060690641		
235	1,97497499	-1,319636583	1,060690641		
236	1,679578066	-1,679578662	1,060690641		
237	1,319635749	-1,974975467	1,060690641		
238	0,908980668	-2,194475412	1,060690641		
239	0,463393927	-2,329642534	1,060690641		
240	-8,83E-07	-2,375282764	1,060690641		
241	-0,463395625	-2,329642057	1,060690641		
242	-0,908982277	-2,194474459	1,060690641		
243	-1,319637418	-1,974974632	1,060690641		
244	-1,679579377	-1,679577589	1,060690641		
245	-1,974976063	-1,319635034	1,060690641		
246	-2,194475412	-0,908979774	1,060690641		
247	-2,329642296	-0,463392913	1,060690641		
248	-2,375282288	1,90E-06	1,060690641		
249	-2,329641581	0,463396668	1,060690641		
250	-2,194473743	0,908983171	1,060690641		
251	-1,974973798	1,319638133	1,060690641		
252	-1,679576278	1,679579854	1,060690641		
253	-1,319633603	1,974976301	1,060690641		
254	-0,908978045	2,194475651	1,060690641		
255	-0,463391125	2,329642057	1,060690641		
280	-2,248810291	1,83E-06	1,540531874		
279	-2,2056005	-0,438720435	1,540620446		
281	-2,205599785	0,438724011	1,540620446		
278	-2,077630758	-0,860582888	1,540882826		
282	-2,077629089	0,860586166	1,540882826		
277	-1,86981833	-1,249373794	1,541308761		
283	-1,869816065	1,249376416	1,541308761		
276	-1,590149999	-1,590151787	1,541882038		
284	-1,590147018	1,590153813	1,541882038		
275	-1,249373198	-1,869820952	1,542580485		
285	-1,249369621	1,869822502	1,542580485		
274	-0,860583484	-2,077634096	1,543377399		
286	-0,860579491	2,07763505	1,543377399		
273	-0,438722104	-2,20560503	1,544242144		
287	-0,438717842	2,205604792	1,544242144		
256	-1,14E-07	2,248814344	1,545141339		
272	-8,48E-07	-2,248815298	1,545141339		
257	0,438721001	2,205604076	1,546040535		
271	0,438720465	-2,205605268	1,546040535		
258	0,860582352	2,077633619	1,546905279		
270	0,860581994	-2,077634811	1,546905279		
259	1,249371886	1,869820714	1,547702193		
269	1,249371767	-1,869821787	1,547702193		
260	1,590148807	1,590151906	1,54840064		
268	1,590148807	-1,590152621	1,54840064		
261	1,869817257	1,249373913	1,548973918		
267	1,869817257	-1,249374986	1,548973918		
262	2,077629566	0,860583901	1,549399853		
266	2,077629566	-0,860584319	1,549399853		
263	2,205599785	0,438721776	1,549662232		
265	2,205599785	-0,438722134	1,549662232		
264	2,248810291	-1,74E-07	1,549750805		
567	-2,190976143	1,79E-06	1,674758196		
566	-2,148877621	-0,427437425	1,674827933		
568	-2,148876905	0,427440882	1,674827933		
565	-2,024199009	-0,838450432	1,675035		
569	-2,02419734	0,83845365	1,675035		
564	-1,821731091	-1,217242241	1,675371051		
570	-1,821728826	1,217245102	1,675371051		
563	-1,549255133	-1,549256206	1,675823212		
571	-1,549252272	1,549258232	1,675823212		
562	-1,217242241	-1,821732879	1,676374078		
572	-1,217238903	1,821734428	1,676374078		
561	-0,838451326	-2,024201632	1,677002668		
573	-0,838447452	2,024202108	1,677002668		
560	-0,427439243	-2,148881197	1,677684784		
574	-0,42743504	2,148880959	1,677684784		
559	-8,24E-07	-2,190980434	1,67839396		
575	-1,10E-07	2,190979481	1,67839396		
544	0,42743814	2,148880482	1,679103255		
558	0,427437603	-2,148881435	1,679103255		
545	0,838450253	2,024201155	1,679785371		
557	0,838449895	-2,024202108	1,679785371		
546	1,217241049	1,821732759	1,680413842		
556	1,21724093	-1,821733832	1,680413842		
547	1,549253941	1,549256325	1,680964947		
555	1,549253941	-1,54925704	1,680964947		
554	1,821730018	-1,217243671	1,681416988		
548	1,821730018	1,217242479	1,681417108		
549	2,024197817	0,838451385	1,681753039		
553	2,024197817	-0,838451803	1,681753039		
550	2,148877144	0,427438736	1,681959987		
552	2,148877144	-0,427439064	1,681959987		
551	2,190976143	-1,62E-07	1,682029724		
312	-2,156275749	1,77E-06	1,755293965		
311	-2,114844084	-0,420667619	1,755352497		
313	-2,114843369	0,420671046	1,755352497		
310	-1,992139935	-0,825170934	1,755526185		
314	-1,992138386	0,825174093	1,755526185		
309	-1,792878747	-1,197963476	1,755808353		
315	-1,792876482	1,197966218	1,755808353		
308	-1,524718165	-1,524718881	1,756187797		
316	-1,524715424	1,524720907	1,756187797		
307	-1,197963715	-1,792880058	1,756650209		
317	-1,197960377	1,792881608	1,756650209		
306	-0,825172007	-1,992141962	1,75717783		
318	-0,825168252	1,992142677	1,75717783		
305	-0,420669526	-2,114846945	1,757750273		
319	-0,420665383	2,114846706	1,757750273		
288	-1,07E-07	2,156278372	1,758345485		
304	-8,11E-07	-2,156279325	1,758345485		
289	0,420668423	2,11484623	1,758940935		
303	0,420667917	-2,114847183	1,758940935		
290	0,825170994	1,992141604	1,759513378		
302	0,825170577	-1,992142439	1,759513378		
291	1,197962642	1,79287982	1,760040879		
301	1,197962403	-1,792881012	1,760040879		
292	1,524717093	1,524719	1,760503411		
300	1,524717093	-1,524719715	1,760503411		
293	1,792877674	1,197963595	1,760882854		
299	1,792877674	-1,197964787	1,760882854		
294	1,992138863	0,825171888	1,761164904		
298	1,992138863	-0,825172305	1,761164904		
295	2,114843369	0,4206689	1,761338592		
297	2,114843369	-0,420669228	1,761338592		
296	2,156275749	-1,54E-07	1,761397123		
17	3,576272011	0,021293812	1,9645468		
456	2,655062675	0,119519629	2,053014755		
1	-1,91E-07	2,760320425	2,091053247		
3	0,538511813	2,707281828	2,091053247		
5	1,056329131	2,550203562	2,091053247		
7	1,53355217	2,295122385	2,091053247		
9	1,95184195	1,951841354	2,091053247		
11	2,2951231	1,533551574	2,091053247		
13	2,5502038	1,056328773	2,091053247		
15	2,707282066	0,538511574	2,091053247		
19	2,707282066	-0,53851217	2,091053247		
21	2,5502038	-1,05632925	2,091053247		
23	2,2951231	-1,533552885	2,091053247		
25	1,95184195	-1,951842308	2,091053247		
27	1,533552051	-2,295124054	2,091053247		
29	1,056328535	-2,550204992	2,091053247		
31	0,538511157	-2,70728302	2,091053247		
33	-1,09E-06	-2,760321856	2,091053247		
35	-0,538513243	-2,707282782	2,091053247		
37	-1,056330681	-2,550204277	2,091053247		
39	-1,53355372	-2,295122862	2,091053247		
41	-1,951843023	-1,951841235	2,091053247		
43	-2,295124531	-1,533551335	2,091053247		
45	-2,550205708	-1,056327581	2,091053247		
47	-2,707283258	-0,538510084	2,091053247		
49	-2,760321856	2,19E-06	2,091053247		
51	-2,707282066	0,538514316	2,091053247		
53	-2,550203323	1,056331635	2,091053247		
55	-2,295121431	1,533554554	2,091053247		
57	-1,951839328	1,951843739	2,091053247		
59	-1,533549547	2,295124531	2,091053247		
61	-1,056325674	2,550205469	2,091053247		
63	-0,538507998	2,707282543	2,091053247		
448	-1,57E-07	2,15428853	2,091053486		
449	0,420280844	2,112894535	2,091053486		
450	0,824410617	1,990303159	2,091053486		
451	1,196858764	1,791225433	2,091053486		
452	1,523312449	1,523312092	2,091053486		
453	1,791225791	1,196858406	2,091053486		
454	1,990303159	0,824410439	2,091053486		
455	2,112894773	0,420280725	2,091053486		
457	2,112894773	-0,420281053	2,091053486		
458	1,990303159	-0,824410737	2,091053486		
459	1,791225791	-1,196859241	2,091053486		
460	1,523312449	-1,523312688	2,091053486		
461	1,196858644	-1,791226387	2,091053486		
462	0,824410141	-1,990303993	2,091053486		
463	0,420280337	-2,112895489	2,091053486		
464	-8,59E-07	-2,154289484	2,091053486		
465	-0,420281917	-2,11289525	2,091053486		
466	-0,824411929	-1,990303397	2,091053486		
467	-1,196859956	-1,791225433	2,091053486		
468	-1,523313284	-1,523311853	2,091053486		
469	-1,791226864	-1,196858048	2,091053486		
470	-1,990304708	-0,824409425	2,091053486		
471	-2,112895727	-0,420279413	2,091053486		
472	-2,154289484	1,78E-06	2,091053486		
473	-2,112894773	0,420282841	2,091053486		
474	-1,990302801	0,824412644	2,091053486		
475	-1,79122448	1,196860671	2,091053486		
476	-1,523310423	1,52331388	2,091053486		
477	-1,196856737	1,791227102	2,091053486		
478	-0,824408054	1,990304708	2,091053486		
479	-0,420277834	2,112895012	2,091053486		
